"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","cluster","condition","control"
"map00480","Glutathione metabolism","2/134","44/8626",0.0454545454545455,2.92605156037992,1.6088922157518,0.148931483208247,0.689497607445588,0.685142885714352,"116919815/116929316",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04922","Glucagon signaling pathway","2/134","44/8626",0.0454545454545455,2.92605156037992,1.6088922157518,0.148931483208247,0.689497607445588,0.685142885714352,"116925370/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00600","ko00600","2/134","46/8626",0.0434782608695652,2.79883192731992,1.5365716546865,0.159811531781143,0.713444338308672,0.708938374066723,"116922943/116927482",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00600","Sphingolipid metabolism","2/134","46/8626",0.0434782608695652,2.79883192731992,1.5365716546865,0.159811531781143,0.713444338308672,0.708938374066723,"116922943/116927482",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04931","ko04931","2/134","48/8626",0.0416666666666667,2.68221393034826,1.46803287443499,0.170833486824499,0.714095356120711,0.709585280187317,"116925370/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04931","Insulin resistance","2/134","48/8626",0.0416666666666667,2.68221393034826,1.46803287443499,0.170833486824499,0.714095356120711,0.709585280187317,"116925370/116930210",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00450","ko00450","1/134","12/8626",0.0833333333333333,5.36442786069652,1.90038882126103,0.171382885468971,0.714095356120711,0.709585280187317,"116917283",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00450","Selenocompound metabolism","1/134","12/8626",0.0833333333333333,5.36442786069652,1.90038882126103,0.171382885468971,0.714095356120711,0.709585280187317,"116917283",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04068","ko04068","2/134","50/8626",0.04,2.57492537313433,1.40290917057396,0.181978458840427,0.733784108227528,0.729149682280827,"116921243/116925370",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04068","FoxO signaling pathway","2/134","50/8626",0.04,2.57492537313433,1.40290917057396,0.181978458840427,0.733784108227528,0.729149682280827,"116921243/116925370",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko01130","ko01130","4/134","146/8626",0.0273972602739726,1.76364751584543,1.16895664319314,0.191722459748189,0.748915858391363,0.74418586349626,"116917283/116918524/116925370/116930449",4,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map01130","map01130","4/134","146/8626",0.0273972602739726,1.76364751584543,1.16895664319314,0.191722459748189,0.748915858391363,0.74418586349626,"116917283/116918524/116925370/116930449",4,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko01040","ko01040","1/134","15/8626",0.0666666666666667,4.29154228855721,1.60267415082062,0.209458882929481,0.769034450665555,0.764177390977141,"116924502",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map01040","Biosynthesis of unsaturated fatty acids","1/134","15/8626",0.0666666666666667,4.29154228855721,1.60267415082062,0.209458882929481,0.769034450665555,0.764177390977141,"116924502",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00140","ko00140","2/134","57/8626",0.0350877192982456,2.25870646766169,1.19763306696081,0.221705180837453,0.769034450665555,0.764177390977141,"116924502/116932816",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00140","Steroid hormone biosynthesis","2/134","57/8626",0.0350877192982456,2.25870646766169,1.19763306696081,0.221705180837453,0.769034450665555,0.764177390977141,"116924502/116932816",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko00350","ko00350","1/134","17/8626",0.0588235294117647,3.78665496049166,1.44463543534199,0.233872849197534,0.769034450665555,0.764177390977141,"116930292",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04064","ko04064","1/134","17/8626",0.0588235294117647,3.78665496049166,1.44463543534199,0.233872849197534,0.769034450665555,0.764177390977141,"116917503",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map00350","Tyrosine metabolism","1/134","17/8626",0.0588235294117647,3.78665496049166,1.44463543534199,0.233872849197534,0.769034450665555,0.764177390977141,"116930292",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04064","NF-kappa B signaling pathway","1/134","17/8626",0.0588235294117647,3.78665496049166,1.44463543534199,0.233872849197534,0.769034450665555,0.764177390977141,"116917503",1,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"ko04120","ko04120","2/134","63/8626",0.0317460317460317,2.04359156597963,1.04427485698477,0.25627338936347,0.769034450665555,0.764177390977141,"116930688/116931039",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
"map04120","Ubiquitin mediated proteolysis","2/134","63/8626",0.0317460317460317,2.04359156597963,1.04427485698477,0.25627338936347,0.769034450665555,0.764177390977141,"116930688/116931039",2,"cl1_FLX_provisioned_egg","1","FLX_provisioned_egg","CTR:provisioned_egg"
