"","sig_genes_pval_deseq"
"618","116917670"
"619","116916277"
"620","116917923"
"621","116915582"
"622","116915458"
"623","116915562"
"624","116917554"
"625","116917142"
"626","116915479"
"627","116917667"
"628","116917055"
"629","116936751"
"630","116917279"
"631","116916770"
"632","116917807"
"633","116915846"
"634","116916557"
"635","116916630"
"636","116915321"
"637","116917994"
"638","116917195"
"639","116917562"
"640","116915588"
"641","116917843"
"642","116917271"
"643","116916255"
"644","116917096"
"645","116917187"
"646","116916410"
"647","116917572"
"648","116915635"
"649","116917527"
"650","116915566"
"651","116915934"
"652","116915443"
"653","116917589"
"654","116917530"
"655","116915688"
"656","116916567"
"657","116916029"
"658","116918009"
"659","116917253"
"660","116915628"
"661","116916751"
"662","116917394"
"663","116916185"
"664","116917152"
"665","116917840"
"666","116917655"
"667","116916504"
"668","116916058"
"669","116917808"
"670","116918027"
"671","116917587"
"672","116915557"
"673","116916887"
"674","116915457"
"675","116916355"
"676","116915376"
"677","116916440"
"678","116917341"
"679","116915667"
"680","116917571"
"681","116917596"
"682","116916007"
"683","116915542"
"684","116916401"
"685","116936750"
"686","116917713"
"687","116916924"
"688","116916816"
"689","116916376"
"690","116917330"
"691","116916789"
"692","116915909"
"693","116917139"
"694","116917725"
"695","116915490"
"696","116916357"
"697","116916806"
"698","116917317"
"699","116917091"
"700","116916085"
"701","116915579"
"702","116916395"
"703","116916886"
"704","116919128"
"705","116919706"
"706","116919067"
"707","116919815"
"708","116919245"
"709","116919230"
"710","116919212"
"711","116919502"
"712","116918596"
"713","116918451"
"714","116919161"
"715","116919847"
"716","116919715"
"717","116918493"
"718","116919077"
"719","116919852"
"720","116918984"
"721","116919533"
"722","116919142"
"723","116919894"
"724","116919771"
"725","116918854"
"726","116918237"
"727","116918968"
"728","116918481"
"729","116918697"
"730","116918797"
"731","116919558"
"732","116918846"
"733","116918165"
"734","116919430"
"735","116919766"
"736","116919246"
"737","116919603"
"738","116918191"
"739","116919134"
"740","116918421"
"741","116918220"
"742","116918368"
"743","116918239"
"744","116918531"
"745","116918337"
"746","116919870"
"747","116918929"
"748","116919700"
"749","116919490"
"750","116918781"
"751","116919761"
"752","116918932"
"753","116919374"
"754","116918757"
"755","116919640"
"756","116918851"
"757","116918488"
"758","116919848"
"759","116919020"
"760","116919195"
"761","116919461"
"762","116919752"
"763","116918828"
"764","116919426"
"765","116918898"
"766","116918939"
"767","116919038"
"768","116919373"
"769","116919182"
"770","116919485"
"771","116918475"
"772","116918715"
"773","116918260"
"774","116919428"
"775","116918530"
"776","116918943"
"777","116918702"
"778","116919295"
"779","116919286"
"780","116918907"
"781","116919496"
"782","116919683"
"783","116919657"
"784","116919632"
"785","116919684"
"786","116918676"
"787","116918325"
"788","116918367"
"789","116918232"
"790","116918934"
"791","116918996"
"792","116919442"
"793","116918401"
"794","116919218"
"795","116918784"
"796","116919285"
"797","116918827"
"798","116919404"
"799","116918169"
"800","116918746"
"801","116918759"
"802","116919694"
"803","116918873"
"804","116918913"
"805","116918147"
"806","116919805"
"807","116918926"
"808","116918386"
"809","116918979"
"810","116919480"
"811","116918524"
"812","116918480"
"813","116919124"
"814","116918523"
"815","116918155"
"816","116919705"
"817","116918615"
"818","116918474"
"819","116919530"
"820","116918318"
"821","116919359"
"822","116919749"
"823","116919835"
"824","116918899"
"825","116918133"
"826","116918144"
"827","116918448"
"828","116918397"
"829","116919236"
"830","116919769"
"831","116919240"
"832","116918422"
"833","116919237"
"834","116918861"
"835","116919379"
"836","116919479"
"837","116918483"
"838","116919716"
"839","116918754"
"840","116918521"
"841","116919446"
"842","116918186"
"843","116918357"
"844","116918864"
"845","116921440"
"846","116921387"
"847","116920368"
"848","116920571"
"849","116920532"
"850","116920697"
"851","116920302"
"852","116921298"
"853","116922051"
"854","116920084"
"855","116920540"
"856","116920590"
"857","116920187"
"858","116919933"
"859","116920907"
"860","116921482"
"861","116921134"
"862","116921079"
"863","116921251"
"864","116922024"
"865","116920833"
"866","116921496"
"867","116921678"
"868","116920824"
"869","116921727"
"870","116921698"
"871","116921822"
"872","116921452"
"873","116922183"
"874","116921183"
"875","116920324"
"876","116921478"
"877","116921999"
"878","116920987"
"879","116921344"
"880","116922177"
"881","116922040"
"882","116921894"
"883","116920001"
"884","116921300"
