"gene","CTR:unprovisioned_egg","SER:unprovisioned_egg","cluster","condition","control","estimate"
"116930010",-0.510330062807206,0.930659436156416,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116930354",-1.47080411956839,0.409235404116171,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116930689",-0.723871707315021,0.818626745756595,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116930745",-0.916355051747946,-0.0289522356795837,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116930876",-0.419608455668629,0.315146407080632,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116930926",-0.109837159096696,0.558775707026461,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116930964",-0.549967332146896,0.364907233728316,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116930991",-0.576319935082169,0.784942721123989,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931095",-0.705750072920022,0.78664637739048,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931127",-0.744210579519718,0.406198202145732,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931149",-0.67936187857454,0.668354355662988,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931180",0.309202166564016,0.495234147567306,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931374",-0.43809933473385,0.806867070579522,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931579",-0.546071963051818,0.53100008058563,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931585",-0.659185632664964,0.718937327863384,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931589",-0.548902416765453,0.856035785895735,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931592",-0.609134764179712,0.887760256006709,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931598",-0.643857538676868,0.836308542351913,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931599",-0.576588420103927,0.845419495265171,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931740",-0.403702504734834,0.857256754358099,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931742",-0.552145217791602,0.830680096932929,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931746",-0.645961958592193,0.783948300806602,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931747",-0.862632953085951,0.737520458110926,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931761",-0.564313390110523,0.781324455734853,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931762",-0.587430088466993,0.782675015850069,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116931772",-0.756152056970806,0.408480878809908,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932067",-0.719911894194005,0.881118160291334,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932069",-1.02193042821226,0.769452668637185,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932239",-1.03098958674023,0.85958196894341,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932320",-0.822451380696528,0.406450304569556,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932373",-0.458032248540712,0.54765211585127,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932657",0.0969320555100581,0.256191441710162,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932663",-0.484644353556438,0.804481486061168,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932700",-0.629049511293208,0.694004125488679,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932763",-0.769731795841671,0.0877750809461231,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932786",0.191800404226873,0.613634401256007,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932827",-0.487979677001655,0.976715694006254,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932857",-0.401090533510958,0.907229178520452,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116932862",-0.513314735038731,0.690953463001235,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116933008",0.00536365633259229,0.937872950747656,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116933062",-0.859023039708292,0.892773396122817,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116933119",-0.614596710282548,0.858487501608056,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116933411",-0.489491970391334,0.0609368548044241,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116933683",-1.5294633968655,0.158394562491604,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116933805",0.494199879285709,0.907976012382997,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934276",-0.794870181336795,0.895415095940497,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934387",-0.847761002357299,0.489628336044152,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934437",-0.633234159137415,0.878093847220227,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934496",-0.196880534783872,0.647452529198288,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934497",0.0433490531731168,0.450415956442095,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934784",-0.838669493013944,0.726000976587946,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934837",0.0645271260510195,0.665900706689099,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934838",-0.325921155523076,0.271096727905265,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116934863",-0.224289445343271,0.362201288034549,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116935053",-1.42689778937282,0.368626686381064,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116935111",-0.521753549947468,0.327574611754883,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116935135",0.0395399458161575,0.170034388325043,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116935313",-0.531306832254332,0.815628604873924,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116935347",-0.5371816860609,-0.30211434940124,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116935980",-0.296495862366334,0.599222789134406,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116936000",-0.400542065233251,0.629731873543997,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116936136",-0.352680161005074,0.98099019384806,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116936421",-0.823605506845097,0.493598661700627,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116936520",-0.906435340595121,0.13225270079548,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116936535",-0.813647832980725,0.737049017563285,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
"116936558",-0.7725295976771,0.870080258052538,"2","SER:unprovisioned_egg","CTR:unprovisioned_egg",0.973214916850379
