"","gene","pvalue","padj"
"170","116915493",0.0559395531222229,0.653088712510042
"171","116915494",0.0375346180068834,0.4504154160826
"172","116915495",0.0162018519615456,0.194422223538547
"173","116915497",0.077056771952265,0.795684657886773
"174","116915499",0.120441728217107,0.979177386466234
"175","116915500",0.0455211989992639,0.546254387991166
"176","116915501",0.0950089534183618,0.784660988742932
"177","116915502",0.193491151083068,0.832313019568683
"178","116915503",0.0525946996136976,0.631136395364371
"179","116915504",0.10804097286432,0.703809810532913
"180","116915505",0.412930799245061,0.910210275966202
"181","116915506",0.0998046374422797,0.8638027059964
"182","116915507",0.556239761377584,0.939312077541655
"183","116915508",0.173813846233255,0.986081981105162
"184","116915509",0.00247722858580265,0.0297267430296318
"185","116915511",0.222065791170556,0.892648920560909
"186","116915512",0.0584704768198407,0.701645721838088
"187","116915513",0.179260717719908,0.869859569035236
"188","116915514",0.160663302447842,0.820642011497769
"189","116915515",0.117279811666452,0.801106442678146
"190","116915517",0.00626715455164178,0.0752058546197013
"191","116915518",0.0523947168995158,0.628736602794189
"192","116915519",0.114193149489466,0.899767074769976
"193","116915520",0.0406466146533104,0.487759375839724
"194","116915521",0.0441707342776137,0.325089132527697
"195","116915522",0.0535010010873274,0.642012013047929
"196","116915524",0.423949054674821,0.837797907661441
"197","116915525",0.0219261733582962,0.263114080299555
"198","116915526",0.143323046194369,0.96191764365768
"199","116915527",0.0328824270070716,0.39458912408486
"200","116915528",0.0549016533994693,0.658819840793631
"201","116915531",0.155421514870779,0.924806883812406
"202","116915532",0.0392403920415181,0.337876912224156
"203","116915534",0.000945529462062009,0.0113463535447441
"204","116915535",0.0327418311728636,0.392901974074363
"205","116915536",0.00183857228855624,0.0220628674626749
"206","116915537",0.0018017377037706,0.0216208524452472
"207","116915538",0.000678892406286689,0.00814670887544027
"208","116915539",0.0172362015395827,0.206834418474992
"209","116915540",0.127105758681195,0.936313188728262
"210","116915541",0.0125580571121739,0.150696685346087
"211","116915542",0.017235682860202,0.206828194322424
"212","116915543",0.225806409801457,0.831893193507649
"213","116915544",0.262059486185504,0.817923748363161
"214","116915545",0.0326541004641927,0.391849205570312
"215","116915546",0.187215713079649,0.793765709514857
"216","116915547",0.0558395446138101,0.547436623619809
"217","116915549",0.575607884571474,0.973162461325013
"218","116915550",0.189478212685207,0.814766048354746
"219","116915551",0.04342165838866,0.521059900663919
"220","116915552",0.135406031752857,0.834881350894775
"221","116915553",0.273829472880344,0.819937984137637
"222","116915554",0.18707776925159,0.943723690099934
"223","116915557",0.0751688699671266,0.465460081878979
"224","116915559",0.140778628571775,0.843394204059471
"225","116915560",0.0515586310851662,0.618703573021994
"226","116915561",0.00791304606152842,0.094956552738341
"227","116915562",0.0419906214610334,0.503887457532401
"228","116915566",0.0106245738976089,0.127494886771307
"229","116915570",0.102341228213974,0.621443231580797
"230","116915578",0.139248099141409,0.796684077685586
