"gene","CTR:provisioned_egg","FLX:provisioned_egg","cluster","condition","control","estimate"
"116921085",-1.13217585669834,-0.576345238357993,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921110",-1.72635414994242,-0.663722126303311,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921243",-1.60205734940536,-0.29028601827764,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921344",-2.18917636296198,-0.536908696978441,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921397",-1.66664996565582,-0.737256817379362,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921417",-0.689806114846133,0.109247446842941,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921467",-0.475379481084075,0.212310815721207,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921476",-1.53749478701022,-0.236252488357099,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921478",-0.929395880877802,-0.637057201899194,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921482",-0.432984944964343,0.307736288698596,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921503",-1.07930054016333,0.171274887382231,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921572",-1.22090864509178,-0.153669922228342,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921698",-1.61429663865732,-0.515029746222705,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921727",-1.67778121046181,-0.468355872329947,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921895",-1.12518963689286,-0.383156095614256,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116921999",0.147359946584741,0.355248349382348,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922010",-1.89461217038883,-0.365701036254636,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922163",-1.70677020032078,-0.431450840519245,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922177",-1.16282127007147,-0.0281746426616702,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922183",-1.02017888416529,0.00388369072972331,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922329",-2.31823635763166,-0.929028561829122,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922474",-1.79444741682729,-0.383241891363275,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922478",-1.59006775602279,-0.630544973671301,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922778",-0.964589664286526,-0.389497453852414,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922788",-1.46978290948566,-0.385772011008078,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922810",-1.44729728014945,-0.657665036445555,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922829",-0.208021888872592,0.212485225624813,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922924",-2.55239500789821,-1.12877191181079,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922943",-0.542834510902295,0.193135998694927,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922950",-0.913615799444855,0.0832376693379272,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922988",-0.142734318474067,0.638820081746699,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116922993",-1.72921912733608,-0.740854839223949,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923040",-1.96317287707412,-0.485133578482452,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923041",-2.10716418509658,-0.379298751674284,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923073",-0.587527764821804,0.325002148894109,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923178",-1.2994851813388,-0.60068002145678,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923219",-0.881361603712524,-0.238655971470796,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923430",-0.939956179597146,0.184794344923192,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923447",-1.91188213135938,-0.678645962858927,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923679",-1.65562230476531,-0.507434932064227,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923708",-1.26979513863909,-0.071109793714242,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923841",-1.02508560073432,-0.720256327330592,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116923996",-2.40780191897736,-0.611121447977797,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924049",-1.17918117281421,0.134717377610806,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924051",-0.756417910218132,0.137201243062701,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924262",-2.47624367183711,-1.04067910766593,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924263",-0.734084925953789,0.173658678323102,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924429",-0.707542419565233,0.0616065836552509,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924502",-1.16672706209718,-0.024380079377753,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924592",-1.4606595890286,-0.545089074113354,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924703",-1.57897236273222,-0.814353960407827,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924862",-1.50852196361275,-0.531164708450717,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116924947",-0.800420667055035,-0.0998857789292596,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925005",-0.509688070399337,-0.391294157429107,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925026",-0.570319975777218,0.0825845901102099,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925029",-0.760065802256389,0.748845312142788,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925124",-0.0752492437473824,0.248281271615451,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925303",-1.21712106999954,0.0381923278476646,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925370",-1.48004332546899,-0.248783851093657,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925497",-0.437468696980694,-0.399251879823867,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925692",-1.14092044832339,-0.0646257576001809,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925717",-0.264957642019826,0.113563472767447,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925753",-0.404462779383271,0.31287369679251,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925836",-1.33147160191455,-0.225594305599791,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925935",-0.653030803697071,0.0197551483856038,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925940",-1.30853839160145,0.186926458809113,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925941",-1.65789995450388,-0.358108734123641,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925994",-1.94360382636352,-0.319211216767998,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116925995",-1.33098438131732,-0.0991641742122598,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926003",-1.82514911814042,-0.293594260665129,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926013",0.210302730088086,0.51828512803168,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926049",-1.12685420538711,-0.116770543301486,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926068",-0.288476982357865,0.206426785960088,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926190",-0.85769588768331,-0.145837996999129,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926203",-1.77349712586649,-0.553694974970562,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926213",-1.10107956860344,-0.74277568142605,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926265",-2.26856946027208,-0.34271256509871,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926306",-0.914478834187913,-0.18140812247532,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926387",-1.04529480842068,-0.0543944248639274,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926424",-1.23691150341443,-0.266274264796719,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926645",-1.26746489731844,-0.287987833906681,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926648",-1.32468987979881,-0.371048795298234,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926649",-0.876617711947877,-0.166073604554472,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926651",-1.62684326062456,-0.318631879262841,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926709",-1.51283407777459,0.060546361314526,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926763",-2.24658337958885,-0.577263082609384,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926777",-1.80910685650702,-0.636832586041076,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926816",-0.595578509949057,-0.517216702514873,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926830",-0.322033504389497,0.280694531622754,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926831",-0.446416915671129,-0.00808188640278302,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116926843",-0.202085529668391,0.204854018769514,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927027",-0.725905109179929,0.543959095549334,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927095",-1.22503594854796,0.0346297657060809,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927211",-2.18736147187289,-0.581600887364634,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927255",-1.13742664112667,0.00216607143812204,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927303",-1.21802737721935,-0.495026468526075,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927330",-0.789911909606747,0.0799870947952674,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927336",-1.56965661888237,-0.166478763607351,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927338",-1.73899261457271,-0.222247363227718,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927339",-1.9420998653861,-0.368005250732597,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927361",-1.25966131690926,-0.271432923670424,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927399",-0.833968353996212,-0.684245624436199,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927453",-0.680700481500441,0.0500737265478348,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927469",-1.74029506128957,-0.913674657779586,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927482",-1.4870415265072,-0.219926783831648,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927501",-1.38602875468374,-0.680883696348536,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927571",-1.23963551783979,-0.101237689700852,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927769",-1.07947174013684,-0.429989135009418,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
"116927831",-2.13545720081439,-0.906289376228596,"1","FLX:provisioned_egg","CTR:provisioned_egg",0.947597616245126
