"gene","CTR:provisioned_egg","TBT:provisioned_egg","cluster","condition","control","estimate"
"116919212",-1.95137808605819,1.28752858326063,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919230",-2.41316333598818,0.631421710578449,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919236",-1.63149082419706,1.20175764268714,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919237",-1.15763152773135,0.877475672523085,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919239",-1.0074062220545,-0.558369787873418,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919240",-1.88604112722113,0.862798919741382,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919245",-1.98725739289551,1.07275365551628,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919442",-1.21063433159322,1.49872776376399,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919483",-0.459720997792545,1.35646667733815,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919533",-0.647696360610471,1.04884749430557,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919640",-0.447809399296893,1.53868968813914,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919694",-2.40005118997905,0.767862809576116,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919700",-2.02093877890602,0.745268209346361,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919772",-1.8516310739188,0.860548820244667,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919815",-0.308082908274041,0.50765001272915,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116919948",-0.288442875731183,1.09591960538356,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920075",-1.40345728970873,1.37308938547537,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920231",-0.915044869069424,0.179451504636846,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920274",-1.4397465198642,0.798457610238729,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920335",-0.857157681722759,1.2993872136111,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920480",-1.3615962897224,1.21528312644743,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920540",-0.462554212491409,0.657145475064153,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920543",-0.660149862882943,1.07537168434893,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920546",-1.63371312399186,1.16240483083163,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920578",-1.11960476862801,0.782899681309991,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920580",-1.64297300007987,0.697651171671421,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920689",-1.75391593750665,0.634571162391893,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920746",-1.51607084465114,0.837787739446513,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920755",-0.904755220801787,1.43123406224085,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920774",-1.88507414704022,0.925906533096097,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920817",-1.0710225948318,1.0787554808456,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
"116920824",-0.698537743852314,1.7092068856224,"1","TBT:provisioned_egg","CTR:provisioned_egg",2.20570079602529
